Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sweden,SWE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,6446674303.40092,6508118739.8563,7479395966.50427,10065830902.757,15405148192.7063,16181468714.1449,18124403976.8086,18654463576.2087,19023296975.4589,28071657281.6556,32859798893.1538,28225734331.8082,26797187869.313,25303240759.1258,25701153065.2374,27788093758.5339,31810718012.7964,39527737565.7609,44487370049.0748,47053517533.5088,53432614712.8588,48185384294.0036,48642345679.6144,41800822224.3611,50641231643.4982,63925590886.6506,66053426253.2299,65194776019.5326,68566956414.8796,68007214263.0894,72038724285.3971,63063982064.9132,66634787489.7128,82651603150.4886,98735000252.4719,109981734346.585,126940425120.995,151731442715.902,167702237864.571,118525730733.288,145834181111.231,174402916424.529,162317131702.141,159505934580.786,161312272265.945,137620084869.049,139892326976.295,153394258188.597,168079242312.12,157342459452.162,147722801386.727,185462528592.803,199351068804.786,191582101390.693,187826188887.568,..
Switzerland,CHE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22709911513.8856,31014068640.2201,38727077599.6534,46957676673.8479,42488081550.3374,39292100882.0276,39987296412.4169,38509444543.2737,39386681589.2557,54294899713.188,61620516030.2443,68358504749.5387,70747795153.812,85186930292.5632,78835745837.9,80134818467.2603,73832015660.1283,79279167211.1969,93879545046.3472,93674879334.3095,92301905065.9317,92848667794.854,90943747850.6812,93626343789.2701,95428742724.8083,95393253176.8164,109830429155.83,123502812376.089,142955646955.851,157946782454.697,183496649000.686,225313361260.167,204203289896.695,242653367996.071,315875620657.285,291813315821.577,318813744919.329,272905917119.908,248541461384.423,265226378327.543,264234640459.607,273434857377.675,271484289832.776,289978883697.596,322247605914.918,355689420861.926,363785124833.406,371213345540.516,..
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2402000000,2203500000,3055100000,4009700000,4404000000,3635500000,4024000000,3687200000,3945700000,2363200000,2225800000,1986300000,1820600000,2062400000,2354000000,2941000000,3512000000,4604000000,4004000000,4516000000,3603000000,3320000000,3590000000,3723000000,4282000000,4458000000,4382000000,6957000000,8742000000,9359000000,12276793013.972,16107236177.2359,13932561663.9357,15875729420.1912,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,822901200,1025731700,1232433300,1134008481.856,1570072042.756,2560144301.15,3431198663.835,2542645737.838,2932161064.65309,3605477156.70434,4405666272.41251,4559820511.96311,3598706118.17072,2862361738.77429,2552831865.7284,2389722921.18202,2763576697.57678,2921028633.33063,2715509528.86152,3726743920.25282,4575643129.06,5183155968.1,5936267739.875,..
Tanzania,TZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,555703119.6761,646744512.2571,992472818.64,960735095.1225,1089111226.22,1061265305.3562,951997062.6875,708440590.1615,760254377.2421,869202739.5816,913327566.7657,1000492527.6629,1032972325.0077,1070123445.0222,1186326485.0122,1229910463.9017,1335163612.4537,1304018955.7345,1309306466.1752,1340000463.0904,1213129838.5567,1164446658.9612,1365327681.7504,1415401757.9443,1367602534.4641,1560343485.39375,1511324748.7174,1933462631.12883,2482838742.46891,2997570096.9245,3864107446.87749,4860636641.93869,7012313967.66739,5834146860.70816,7165517770.80826,9827484000,10319134707.512,11029118698.1021,10917798123.2101,7965165723.0115,6937857242.30772,7293043351.52769,8519665857.67031,8615162804.03218,7831691887.3956,10003362805.1393,14208708798.394,13728906658.8666,14195644234.1071,..
Thailand,THA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2849660535.71717,3151993901.29964,4238017833.7936,4903552499.98867,6784742377.76065,8351547017.12893,8930460910.0542,7565440090.9028,9168736349.60729,9235728242.16626,8391152406.50645,8414782477.5441,12019161092.5527,17855538839.4352,22749749578.6984,29561306471.5029,34221419667.0922,36260437952.2703,40694407584.9127,48204055345.8943,63414719170.9328,63896558223.4872,55084321743.5534,36514982915.1509,42761773327.6229,56192998493.6107,54538841090.9634,57008216533.9585,66908728390.9418,84193477426.151,105960150000,114271769999.999,124618040000,157884950000,120561520000,166225250000,209213420000,227625139438.127,227415745972.214,209422248389.82,187247531621.338,177711416689.536,201106807974.07,228720468284.818,215976288567.527,186582315538.254,238619662052.645,271618864270.348,261555867020.58,275910757471.943,..
Timor-Leste,TLS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100605233.949535,175665399.872064,310938345.617368,337619881.384666,307447777.138174,401937530.44253,671618772.308738,696204583.66474,764240628.943498,652926496.626764,558616400,681180993.348549,613171713.09193,529798706.777945,481242268.60849,558172548.733857,785323481.563238,772830672.073643,839015571.260205,..
Togo,TGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98037151.6330826,211513165.692908,180627372.763506,252739658.161252,410891168.099375,464315703.94489,524120754.526601,413938095.661443,408154132.486513,291776200.15659,263202301.291352,303748609.002516,418563468.055898,437131505.565374,504461636.855102,470125699.678504,602725755.441752,567004901.352487,547444233.592049,375289701.724141,365515640.605907,506462580.831584,567771713.73279,530521241.420418,553445237.518707,489598778.457811,485660554.590992,516515826.689787,578262911.24074,756140511.135415,854768615.950632,917788762.170036,949909813.049644,1073394414.29765,1312540697.44453,1320457990.26074,1425779755.90074,2022459224.24915,1851212312.55597,2393130704.39038,2215378829.32403,2044085022.16684,2001177776.64302,1662373052.50696,1863487912.20109,1811991882.92638,1951337517.71526,..,..,..,..,..
Tonga,TON,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,5153120.8251177,6608978.69185572,7540567.42312819,11076383.8560148,19083822.9912517,16191615.9367672,15349330.4276942,18489568.5721152,22716391.898804,27083283.0340748,37120875.0229108,38635496.8485721,37483920.9815902,33396773.9691928,31756105.8028897,32277929.9831366,35093742.3262532,44056304.6848606,48020469.4283511,49449745.5247948,51421434.1596287,50718311.6472251,49496871.2157832,64611167.5036717,..,..,..,..,..,..,61955089.2345021,71825823.7998821,73725193.3753576,91486436.9284166,109642849.089009,122514461.744124,138193603.63903,173298304.105466,187951847.178048,177790799.263626,203471141.735077,203290192.418786,187411827.965718,187726636.882681,202351328.52698,192769959.630683,206077795.354706,216864500.800825,221335034.688612,209204114.631291,214641792.280538,217334175.095806,233609356.829177,231822618.38752,..
Trinidad and Tobago,TTO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,658125902.231161,766035961.000793,867833333.694928,1057500000.44062,1334083333.8892,1789083334.07879,1763458334.0681,2486750001.03614,2233333334.26389,1704875000,1354571428.57143,1209444444.44445,1057611111.11111,1064195121.95122,1045247058.82353,947552941.17647,1210282352.94118,995623529.411769,952907472.549242,1036586232.04356,1868473685.27977,1971635337.33116,2976592685.64415,2998869140.63818,2731900000,3305500174.89982,3576400191.25492,3672500000,3899000000,4877200000,5709800000,6490800000,7662300000,9551100000,6962600000,6481400000,8578583634.93473,9231945091.19355,9276000365.0127,7919316855.14555,7529492994.82087,7088732657.09378,6451700898.0475,6617224457.98824,6032462518.28278,5018815269.56157,6370110184.61774,7506155511.50044,6615652538.81913,7544638210.27284,..
Tunisia,TUN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1434318701.96331,1613241640.31528,1787727399.89642,2487314334.00944,3165790375.04027,3452785777.32964,3167495508.48375,2946520654.17813,2947865266.54573,2593182510.65695,2697633903.03672,2828654609.08391,3496135967.31966,4137694931.02525,5192789373.81403,4894979473.56799,6078468322.46636,5810259944.04268,6210245785.1573,7458630716.36267,7279576060.06386,7514185172.06823,7875474763.44156,8014499778.70977,8093043615.7148,8996933021.71212,8980587076.80767,10296801733.3376,12280376833.3154,12594481412.0186,14202062320.3921,18023529717.8125,23193680380.3674,18117420525.4485,21005449210.563,22623012537.4407,23101922348.4342,22981078072.8256,23525291943.3931,19177467660.7404,18463633401.0956,19679427963.2557,15562430611.3127,14708012185.1575,12487293093.7619,15584578413.3417,19242153140.0061,18089655120.9224,18737863791.4891,..
Turkiye,TUR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3589000000,4502000000,4872000000,5506000000,4369000000,4815000000,7513000000,8567000000,8518000000,8895000000,10237000000,11162000000,10580000000,13484000000,13636000000,15891000000,22453000000,20947000000,22942000000,29655000000,22524000000,35089000000,42331000000,47158000000,44779000000,38802000000,52882000000,38092000000,47109000000,65883000000,91271000000,111445000000,134672000000,162210000000,193823000000,134494000000,177317000000,231552000000,227315000000,249282000000,239865000000,203874000000,192568000000,227789000000,219635000000,198981000000,206252000000,253994000000,342938000000,337279000000,313437000000,..
Turkmenistan,TKM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,404150715,394887053,377851700,418419900,469812400,..,..,..,..,..,..,..
Tuvalu,TUV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16739572.0327861,7749621.81941662,5629695.34080203,10079563.9574114,10698493.3510165,9680425.8337876,9759993.80790705,9615960.73539856,23658983.8021386,18410507.5778037,21127337.3636615,22169783.5196758,15672793.036448,15174559.1088148,31488198.8962157,18477692.4948751,19761806.417878,16004104.2233052,31766944.8006272,27188204.6822587,32436472.8781656,24241095.0777576,..,..,..
Uganda,UGA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,317600000,284300000,337600000,342500000,286800000,238300000,360900000,475600000,523500000,588300000,491000000,377100000,421900000,478300000,714200000,926810000,986890000,1042550000,1166340000,989100000,949700000,975442664.032111,1040755111.34805,1197471518.34708,1426754848.2932,1745567084.4372,2215576096.1537,2958178295.56831,4042765531.05267,3835242749.5146,4375690952.49038,4996718343.81037,5261545011.48211,4974117845.71876,5099616713.24184,4955391274.99701,4518348321.77694,5164346927.57578,6089658328.29973,6849591450.92818,7098121798.43695,7540267930.53669,7947236322.47076,9702018234.83822,11674103402.5252,..
Ukraine,UKR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15705000000,15509000000,18004000000,19589000000,15237000000,11945000000,13907000000,15789000000,16616000000,21555000000,27839000000,34377000000,42220000000,57753000000,80640000000,42477000000,56896000000,80414000000,86273000000,81234000000,57680000000,38875000000,40502000000,49364000000,56055000000,60352000000,53380000000,71838000000,56477000000,65402000000,72320000000,..
United Arab Emirates,ARE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,352648059904.697,400217835262.083,..
United Kingdom,GBR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,19540784394.7295,21473749824.3864,25353459823.1943,35361355172.4667,50347012950.0082,49747144035.3113,52103384214.3657,59323424550.6804,70184832158.6676,92990917346.6445,106267189125.899,95198256334.9878,93492301474.2281,94339908423.1765,100600735984.153,104817097629.108,120487898958.202,149675610290.097,182016526011.379,192055820638.182,215352807240.705,201673601463.464,212698257092.942,202960810653.257,224135220776.863,261323849676.494,282475479557.061,301739432060.301,307850547387.693,323207898632.051,342874818375.991,344543433482.779,363290483106.239,400783362905.277,473315591230.452,520614537775.052,604264468190.663,633587053599.386,647924214179.292,496173740090.82,565049983297.544,651546852841.117,649287062352.72,664458006060.487,691362740576.77,620553414216.217,592757677233.978,618022651733.209,660958038392.663,655676175047.678,568514940475.173,680951099973.275,797513378355.672,757248581077.09,763479198422.084,..
United States,USA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,39860000000,45580000000,55800000000,70500000000,103820000000,98180000000,124230000000,151910000000,176002000000,212007000000,249771000000,265095000000,247664000000,268893000000,332414000000,338082000000,368410000000,409761000000,447188000000,477679000000,498440000000,491017000000,536528000000,589394000000,668690000000,749374000000,803113000000,876794000000,918637000000,1035591000000,1231722000000,1153699000000,1173282000000,1272089000000,1488349000000,1695821000000,1878193000000,1986346000000,2141286000000,1580026000000,1938952000000,2239884000000,2303749000000,2294246000000,2385480000000,2273249000000,2207195000000,2356344000000,2555662000000,2512358000000,2346728000000,2849041000000,3270141000000,3104951000000,3295181000000,..
Uruguay,URY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,709800000,1166200000,1668200000,1592100000,1038400000,739700000,732200000,675400000,814500000,1079900000,1112200000,1136200000,1266900000,1543700000,1923200000,2118300000,2623600000,2710600000,3135400000,3497500000,3601400000,3187200000,3311107520,2914816963.24581,1873809468.82559,2097762570.42435,2992224251,3753258700.36047,4898461244.74566,5645390773.49801,8809677483.43298,6895687745.01649,8557692818.99725,10704280844.1068,12785975588.0104,12389355177.4725,12039964962.1526,10101325717.6553,8562427319.73144,9165094618.45624,9393513319.8151,8752676955.57567,7903627989.19824,11211159981.9549,13414366678.5235,12868826582.3728,12999125186.1808,..
Uzbekistan,UZB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3402908419.78598,4183680613.46734,6276664573.67564,8926385463.0738,9125753173.71485,9984977680.22904,12473030780.3031,13345641558.8568,13962042682.9477,13514094325.9935,11575963790.8546,11037273348.3514,12377319711.515,18252445318.979,21189951960.7128,19048314708.6048,22908690100.0187,28309158259.2387,34475556679.0485,33159965244.1938,..
Vanuatu,VUT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43271054.751711,45819735.6024631,51479398.4470882,52289828.0399606,46806137.1190688,57092956.6895151,57891336.635518,57920824.4528975,79337503.1362696,74011207.4549121,66786561.3989367,64707913.7696577,74681100.2523318,79436514.870064,81107742.7077841,78994465.0983835,76225152.0812144,84455861.0312595,76935982.1431167,77961556.3254032,78444286.6831483,91801522.3925632,112995040.626159,131146628.013477,147554936.357116,176478580.135396,317770962.968512,187167720.130085,243799272.662521,260037317.119935,253245944.59424,267469959.535759,269343096.209864,307983998.146857,320576597.333775,316593947.630466,302703329.232328,270564213.058209,253671600.101564,295368097.301697,349756374.44379,..,..,..
"Venezuela, RB",VEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,1713000000,1896000000,2222000000,2626000000,3876000000,5462000000,7337000000,10194000000,11234000000,10004000000,10877000000,12123000000,13584000000,6409000000,7246000000,7501000000,7866000000,8870000000,12080000000,7333000000,6862000000,10195000000,12807000000,11460000000,8424000000,12007000000,9881000000,14900000000,16622000000,14358000000,16837000000,19203000000,13352000000,10475000000,17013000000,24002000000,33547000000,47368000000,51169000000,41584000000,41702000000,52543000000,65917000000,57151000000,47223000000,33276000000,16338000000,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
