Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Seychelles,SYC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,12,50,100,164,195,278,584,649,227,425,282,234,1084,1175,772,704,368,289,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,28.8,..,..
Sierra Leone,SLE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,7,9,14,18,20,20,20,20,20,15,25,25,30,30,30,30,30,30,30,30,30,30,30,50,50,75,75,75,75,75,75,85,85,85,100,100,115,135,160,185,..,..
Singapore,SGP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,10,30,135,140,40,38,107,52,96,103,91,279,1126,1497,1149,1225,1330,1855,1969,1965,1857,2000,2350,2350,2360,3625,3567,4088,3706,4029,5112,4443,5027,5024,5406,5917,8573,4503,3518,3567,3498.87,4335.794,4232.331,5566.111,5262.323,6896.294,6112.361,5833.77,5701.649,5831.35,4828.849,5243.564,4745.21,4207.03,..,..
Sint Maarten (Dutch part),SXM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Slovak Republic,SVK,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,1861,1617,954,1254,648,872,887,999,829,881,1180,955,1263,1199,1071,834.9,702.4,834.5,1310.56,1106.2,1230.66,1308.63,2168.65,2646.264,2224.41,2687.54,2296,2514,2614,2768,..,..
Slovenia,SVN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,718,787,789,869,917,909,1206,1181,1262,1289,1353,1571,1346,1369,1352,1315,1306.6,778.4,1396.6,1154.3,1225.7,1396.3,1617.2,1858.7,1750.1,1943.5,2143.9,1672.6,1685.9,1643.7,1138.8,..,..
Solomon Islands,SLB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,5,3,5,6,8,10,13,13,13,13,13,13,15,15,6,400,1711.2,2608.8,1353.6,866.6,1160.2,4029.8,7105,7218.6,6992.4,11815,12165.4,12203,10586.5,4786.5,5526.5,5607,5507,12463.74,11879.3,710.128,..,..
"Somalia, Fed. Rep.",SOM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
South Africa,ZAF,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,12,14,14,13,11,10,6,366,615,789,1096,1376,2037,3613,4882,4288,4021,4429,3530,3013,4196,5088,4148,2819,2830,4105,6602,5954,5895,6037,5669,5421,4982,5147.6,5343.28,5926.53,6613,7222,6730.4,8094.27,6338.32,7991.55,9224.32,9753.01,10346.65,11355.02,8660.82,..,..
South Sudan,SSD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,24,27,30,35,40,45,47,50,..,..
Spain,ESP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,6300,8000,56600,64200,65200,66900,65300,52000,69700,95800,156200,146700,164300,166900,173927,168312,186900,193768,235500,206760,205638,215150,225730,229310,247426,266608,268449,270734,271403,222924,203766,224971,168759,126130,177940,223965,231633,239169,313908,318469,309229,309091,254949,268279,298981,222029,294891.2,284985.4,252291.24,268567.364,253785.65,274253.823,266595.676,226307.638,285009.863,293571.976,287484.081,315143.023,353903.01,308041.77,273626.851,276907.049,273065.807,243109.496,..,..
Sri Lanka,LKA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,5,10,20,20,20,20,20,24,27,31,47,56,70,40,280,430,530,699,730,1030,1530,2030,2530,3130,3359,3632,3680,6570,3900,4420,3610,2651,3462,4003,4304,5652,8233,7474,7548.679,8058.14,11912.222,8839.756,30881.3,34220.3,36037.75,30974.22,28756.16,30921.46,34087.49,42118.9,50977.226,59080.29,60888,..,..
St. Kitts and Nevis,KNA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.5,1,2,2.5,2.5,3.5,3.5,4,4,..,..
St. Lucia,LCA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,35,40,40,40,21,9,11,11,12,3,2,137,1,29,18,22,6,15,10.243,10.39,7.04,12.36,20.9,21.8,27.9,44.3,36.2,26.1,32.44,27.45,60,119.722,91.89,210.72,209.43,157.32,..,..
St. Martin (French part),MAF,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
St. Vincent and the Grenadines,VCT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.4,1.4,1.4,1.1,1,0.24,13.07,13,13,13,..,..
